study_id,suite_id,source,authors,year,title,venue,access_date,datasets,models,metrics,n_result_rows,provenance_note,risk_of_bias_note
aksu_2024_gift_eval,GIFT-Eval,LIT,Aksu et al.,2024,GIFT-Eval: A Benchmark for General Time Series Forecasting Model Evaluation,NeurIPS TSALM Workshop,2026-04-12,Car Parts; Hierarchical Sales; Restaurant,Auto ETS; Chronos-2; Chronos-Bolt-Base; Moirai-2.0-Small; Seasonal Naive; TabPFN-TS; TimesFM-2.5; TiRex; Toto-1.0,MASE; SQL; WAPE,107,Benchmark-suite extraction; clustered as GIFT-Eval.,Many dependent benchmark tasks from one suite; handled with task/suite clustering.
source_b_gap_filling_experiments,SourceB,LIT,Rubczynski (this study),2026,Favorita consolidated head-to-head (Phase E),this study,2026-04-12,Favorita,LightGBM direct (Tweedie + 6 covariates; h models); LightGBM recursive (Tweedie + 6 covariates); Seasonal Naive,WAPE,9,Own gap-filling experiments; not counted as PRISMA included studies.,"Single-lab experiment; useful for gap filling, limited independent replication."
source_b_gap_filling_experiments,SourceB,LIT,Rubczynski (this study),2026,Gap-filling baseline experiments,this study,2026-04-12,M5,Seasonal Naive,MAE_mean; runtime_sec,6,Own gap-filling experiments; not counted as PRISMA included studies.,"Single-lab experiment; useful for gap filling, limited independent replication."
source_b_gap_filling_experiments,SourceB,LIT,Rubczynski (this study),2026,M5 consolidated head-to-head (Phase C),this study,2026-04-12,M5,LightGBM direct (Tweedie + 6 covariates; h models); LightGBM direct h=7; LightGBM recursive (Tweedie + 6 covariates); Seasonal Naive,WRMSSE; WRMSSE_anchor,10,Own gap-filling experiments; not counted as PRISMA included studies.,"Single-lab experiment; useful for gap filling, limited independent replication."
source_b_gap_filling_experiments,SourceB,LIT,Rubczynski (this study),2026,M5 tail-eval comparison,this study,2026-04-12,M5,LightGBM (Tweedie + 6 covariates); Seasonal Naive,MAE_mean,6,Own gap-filling experiments; not counted as PRISMA included studies.,"Single-lab experiment; useful for gap filling, limited independent replication."
source_b_gap_filling_experiments,SourceB,LIT,Rubczynski (this study),2026,Rohlik v2 consolidated head-to-head (Phase D),this study,2026-04-12,Rohlik,LightGBM direct (Tweedie + 7 covariates; h models); LightGBM recursive (Tweedie + 7 covariates); Seasonal Naive,WAPE,9,Own gap-filling experiments; not counted as PRISMA included studies.,"Single-lab experiment; useful for gap filling, limited independent replication."
source_b_gap_filling_experiments,SourceB,LOCAL,own_source_b,2026,Source B — local MPS + Azure batch sweep,meta-analysis-internal,2026-04-12,Favorita; M5; Rohlik,chronos_bolt_tiny; chronos2; lightgbm_cov; lightgbm_direct; moirai2; seasonal_naive; timesfm25; tirex,WAPE,72,Own gap-filling experiments; not counted as PRISMA included studies.,"Single-lab experiment; useful for gap filling, limited independent replication."
alonso_et_al_2025_tirex_zero_shot_forecasting,fev-bench,LIT,Alonso et al.,2025,TiRex: Zero-Shot Forecasting,arXiv,2026-04-12,fev-bench,TiRex,win_rate_SQL,1,Benchmark-suite extraction; clustered as fev-bench.,Many dependent benchmark tasks from one suite; handled with task/suite clustering.
ansari_et_al_2025_chronos_2_from_univariate_to_universal_forecasting,fev-bench,LIT,Ansari et al.,2025,Chronos-2: From Univariate to Universal Forecasting,arXiv,2026-04-12,fev-bench,AutoARIMA; AutoETS; AutoTheta; Chronos-2,win_rate_SQL,4,Benchmark-suite extraction; clustered as fev-bench.,Many dependent benchmark tasks from one suite; handled with task/suite clustering.
datadog_2025_toto_time_series_optimized_transformer_for_observability,fev-bench,LIT,Datadog,2025,Toto: Time Series Optimized Transformer for Observability,arXiv,2026-04-12,fev-bench,Toto-1.0,win_rate_SQL,1,Benchmark-suite extraction; clustered as fev-bench.,Many dependent benchmark tasks from one suite; handled with task/suite clustering.
hollmann_et_al_2025_from_tables_to_time_extending_tabpfn_v2_to_ts_forecasting,fev-bench,LIT,Hollmann et al.,2025,From Tables to Time: Extending TabPFN-v2 to TS Forecasting,arXiv,2026-04-12,fev-bench,TabPFN-TS,skill_score_SQL,1,Benchmark-suite extraction; clustered as fev-bench.,Many dependent benchmark tasks from one suite; handled with task/suite clustering.
liu_et_al_2025_sundial_a_family_of_highly_capable_time_series_foundation_models,fev-bench,LIT,Liu et al.,2025,Sundial: A Family of Highly Capable Time Series Foundation Models,ICML 2025 (Oral),2026-04-12,fev-bench,Sundial-Base,win_rate_SQL,1,Benchmark-suite extraction; clustered as fev-bench.,Many dependent benchmark tasks from one suite; handled with task/suite clustering.
shchur_2025_fev_bench,fev-bench,LIT,Shchur et al.,2025,fev-bench: A Realistic Benchmark for Time Series Forecasting,arXiv,2026-04-12,Favorita; Hermes; Hierarchical Sales; M5; Restaurant; Rohlik; Rossmann; Walmart,CatBoost (Recursive); Chronos-2; Chronos-Bolt-Base; LightGBM (Recursive); Moirai-2.0-Small; TabPFN-TS; TimesFM-2.5; TiRex; Toto-1.0,MASE; SQL; WAPE,534,Benchmark-suite extraction; clustered as fev-bench.,Many dependent benchmark tasks from one suite; handled with task/suite clustering.
