study_id,suite_id,source,baseline_quality,matched_protocol,leakage_risk,selective_reporting_risk,raw_predictions_available,code_available,independence_note,overall_risk,assessment_rationale
aksu_2024_gift_eval,GIFT-Eval,LIT,benchmark-defined,within-suite matched,low by benchmark design,lower: suite-level reporting,no,benchmark code/results available,many dependent task/model rows within one suite,moderate,"Strong benchmark provenance, but many rows share suite protocols and baseline/actuals."
source_b_gap_filling_experiments,SourceB,LIT,limited,superseded unmatched runs; matched panel separate,train-test controlled; FM pretraining unknown,lower: all local cells retained/audited,yes for matched panel; no for superseded unmatched sweep,yes: repository scripts,single-lab experiment block; not a PRISMA study,high (superseded unmatched runs) / moderate (matched panel),"Local reruns expose predictions for the matched panel, but the superseded unmatched sweep remains descriptive."
alonso_et_al_2025_tirex_zero_shot_forecasting,fev-bench,LIT,benchmark-defined,within-suite matched,unclear pretraining overlap,lower: suite-level reporting,no,benchmark code/results available,many dependent task/model rows within one suite,moderate,"Strong benchmark provenance, but many rows share suite protocols and baseline/actuals."
ansari_et_al_2025_chronos_2_from_univariate_to_universal_forecasting,fev-bench,LIT,benchmark-defined,within-suite matched,unclear pretraining overlap,lower: suite-level reporting,no,benchmark code/results available,many dependent task/model rows within one suite,moderate,"Strong benchmark provenance, but many rows share suite protocols and baseline/actuals."
datadog_2025_toto_time_series_optimized_transformer_for_observability,fev-bench,LIT,benchmark-defined,within-suite matched,unclear pretraining overlap,lower: suite-level reporting,no,benchmark code/results available,many dependent task/model rows within one suite,moderate,"Strong benchmark provenance, but many rows share suite protocols and baseline/actuals."
hollmann_et_al_2025_from_tables_to_time_extending_tabpfn_v2_to_ts_forecasting,fev-bench,LIT,benchmark-defined,within-suite matched,unclear pretraining overlap,lower: suite-level reporting,no,benchmark code/results available,many dependent task/model rows within one suite,moderate,"Strong benchmark provenance, but many rows share suite protocols and baseline/actuals."
liu_et_al_2025_sundial_a_family_of_highly_capable_time_series_foundation_models,fev-bench,LIT,benchmark-defined,within-suite matched,unclear pretraining overlap,lower: suite-level reporting,no,benchmark code/results available,many dependent task/model rows within one suite,moderate,"Strong benchmark provenance, but many rows share suite protocols and baseline/actuals."
shchur_2025_fev_bench,fev-bench,LIT,benchmark-defined,within-suite matched,unclear pretraining overlap,lower: suite-level reporting,no,benchmark code/results available,many dependent task/model rows within one suite,moderate,"Strong benchmark provenance, but many rows share suite protocols and baseline/actuals."
makridakis_2022_m5,other,LIT,competition-grade,not auditable from aggregate extraction,unclear,unclear: aggregate paper extraction,no,varies by paper,single aggregate publication/preprint row set,high/unclear,"Aggregate extraction lacks prediction-level errors, covariance, and full protocol audit."
unknown_2025_foundation_models_for_demand_forecasting_via_dual_strategy_ensembling,other,LIT,as reported,not auditable from aggregate extraction,unclear,unclear: aggregate paper extraction,no,varies by paper,single aggregate publication/preprint row set,high/unclear,"Aggregate extraction lacks prediction-level errors, covariance, and full protocol audit."
woo_et_al_2024_unified_training_of_universal_time_series_forecasting_transformers,other,LIT,as reported,not auditable from aggregate extraction,unclear,unclear: aggregate paper extraction,no,varies by paper,single aggregate publication/preprint row set,high/unclear,"Aggregate extraction lacks prediction-level errors, covariance, and full protocol audit."
